ACCOUNT,RN,COMPANY,SITE,COUNTY,REGION,SIC,SIC DESCRIPTION,REPORTING YEAR,CO TPY,NOX TPY,Pb TPY,PM10 TPY,PM2.5 TPY,SO2 TPY,VOC TPY
DB0386T,RN100683010,MI WINDOWS AND DOORS LLC,MI WINDOWS AND DOORS,DALLAS,4,3442,"METAL DOORS, SASH, AND TRIM",2020,2.1632,2.5755,0,0.1989,0.1963,0.0156,13.2989
DB0408L,RN101645307,PPG ARCHITECTURAL FINISHES INC,PAINT MFG,DALLAS,4,2851,PAINTS AND ALLIED PRODUCTS,2020,0.2118,0.252,0,0.278,0.278,0.0016,7.4705
DB0447B,RN100689934,HENSLEY INDUSTRIES INC,DALLAS PLANT,DALLAS,4,3325,"STEEL FOUNDRIES, NEC",2020,65.2413,11.1059,0,8.2073,8.0893,3.1124,59.1921
DB0458T,RN102360286,SENOX CORPORATION,MESQUITE PLANT,DALLAS,4,3479,METAL COATING AND ALLIED SERVICES,2020,2.0186,6.7285,0,0.1826,0.1826,0.0144,5.9861
DB0476R,RN100215581,EPIROC DRILLING SOLUTIONS LLC,EPIROC DRILLING SOLUTIONS,DALLAS,4,3531,CONSTRUCTION MACHINERY,2020,0.7874,1.2613,0,0.1038,0.0514,0.0047,5.5996
DB0482W,RN102660909,GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS INC,GARLAND PLANT,DALLAS,4,3483,"AMMUNITION, EXCEPT FOR SMALL ARM",2020,10.3807,12.4209,0,19.7276,19.7097,0.2949,19.6672
DB0486O,RN101333995,ICT SALES INC,IRVING COUNTER TOP,DALLAS,4,3089,"PLASTICS PRODUCTS, NEC",2020,0,0,0,0,0,0,5.848
DB0508G,RN100640580,HEMPEL USA INC,DALLAS FACILITY,DALLAS,4,2851,PAINTS AND ALLIED PRODUCTS,2020,0.4726,0.5626,0,1.7888,1.3941,0.0034,7.7405
DB0588F,RN100242015,MAGELLAN PIPELINE TERMINALS LP,DALLAS TERMINAL,DALLAS,4,4226,SPECIAL WAREHOUSING AND STORAGE,2020,0,0,0,0.062,0.0456,0,42.3099
DB0595I,RN100708619,ATRIUM COMPANIES INC,ATRIUM DOOR AND WINDOW,DALLAS,4,3442,"METAL DOORS, SASH, AND TRIM",2020,0,0,0,0,0,0,1.0162
DB0632E,RN100225291,OWENS CORNING ROOFING AND ASPHALT LLC,OWENS CORNING IRVING,DALLAS,4,2952,ASPHALT FELTS AND COATINGS,2020,16.2112,24.3916,0,26.097,26.097,76.4365,10.967
DB0728N,RN100218197,SHERWIN WILLIAMS COMPANY,GARLAND FACILITY,DALLAS,4,2851,PAINTS AND ALLIED PRODUCTS,2020,0.4669,0.5558,0,0.5744,0.0422,0.0033,17.8298
DB0787U,RN103080057,SOLO CUP OPERATING CORP,DALLAS PLANT,DALLAS,4,2679,"CONVERTED PAPER PRODUCTS, NEC",2020,1.532,1.826,0.029,0.4665,0.141,0.0115,8.345
DB0795V,RN100519651,MOTIVA ENTERPRISES LLC,DALLAS TERMINAL,DALLAS,4,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,1.5495,0.7706,0,0.0416,0.0416,0.0007,48.5954
DB0804W,RN100644103,TEXAS FINISHING CO,TEXAS FINISHING,DALLAS,4,3442,"METAL DOORS, SASH, AND TRIM",2020,0.95,1.13,0,0.1349,0.09,0.03,15.4868
DB0820B,RN102505195,TEXAS INSTRUMENTS INCORPORATED,CENTRAL EXPRESSWAY SITE NORTH CAMPUS,DALLAS,4,3674,SEMICONDUCTORS AND RELATED DEVICES,2020,62.5666,61.945,0,8.1399,4.8747,0.6901,60.8204
DB0838F,RN102593894,CABINETWORKS GROUP MICHIGAN LLC,DUNCANVILLE PLANT,DALLAS,4,2434,WOOD KITCHEN CABINETS,2020,0.0773,0.092,0,0.6994,0.2117,0.0002,14.8205
DB0915M,RN100215185,TRIUMPH AEROSTRUCTURES LLC,MARSHALL STREET FACILITY,DALLAS,4,3728,AIRCRAFT PARTS & EQUIPMENT NEC,2020,0.5674,0.3378,0,0.0749,0.0514,0.004,11.3139
DB0969M,RN100559988,RMAX INC,FOAM BOARD MFG FACILITY,DALLAS,4,3086,"PLASTICS, FOAM PRODUCTS",2020,0,0,0,0,0,0,24.89
DB0976P,RN100219104,AQUATIC CO,AQUATIC,DALLAS,4,3088,"PLASTICS, PLUMBING FIXTURES",2020,0.2631,0.3132,0,0.0251,0.0251,0.0019,22.4286
DB1073N,RN100218080,DAL-TILE CORPORATION,SUNNYVALE MANUFACTURING PLANT,DALLAS,4,3253,CERAMIC WALL AND FLOOR TILE,2020,173.75,65.29,0.0183,71.93,31.8,17.7,17.98
DB1130D,RN101856904,HENRY COMPANY LLC,HENRY ROOF SEALANTS,DALLAS,4,2952,ASPHALT FELTS AND COATINGS,2020,2.167,1.715,0,0.5547,0.5547,0.013,0.68
DB1172K,RN102590700,WESTERN EXTRUSIONS CORPORATION,ALUM EXTRUSION OPERATION,DALLAS,4,3354,ALUMINUM EXTRUDED PRODUCTS,2020,10.0362,11.9477,0,1.0044,1.0044,0.0696,14.4287
DB1190I,RN102148806,AER MANUFACTURING II INC,AER MANUFACTURING,DALLAS,4,3714,MOTOR VEHICLE PARTS & ACCESSORIES,2020,0.3533,0.4205,0,0.0318,0.0318,0.0024,13.9711
DB1276U,RN100215508,TEKNI-PLEX INC,DOLCO PACKAGING,DALLAS,4,5169,CHEMICALS AND ALLIED PRODUCTS NEC,2020,0.5185,0.6173,0,0.0491,0.0491,0.0037,62.1256
DB1328D,RN101997617,HONEYWELL INTERNATIONAL INC,OPTOELECTRONICS DIV ARAPAHO RD,DALLAS,4,3674,SEMICONDUCTORS AND RELATED DEVICES,2020,0.6903,0.4109,0,0.0624,0.0624,0.0049,6.4307
DB1494I,RN100219963,SOLAR TURBINES INC,DESOTO OVERHAUL FACILITY,DALLAS,4,3511,TURBINES AND TURBINE GENERATOR,2020,26.8664,82.6159,0,5.9037,5.2902,3.7419,3.4815
DB1589T,RN102556313,GULFSTREAM AEROSPACE CORPORATION OF TEXAS,DALLAS LOVE FIELD,DALLAS,4,3721,AIRCRAFT,2020,0.2741,0.3263,0,0.7411,0.4051,0.002,5.1108
DB2035O,RN101964849,STOROPACK INC,SUREPAK LP,DALLAS,4,3086,"PLASTICS, FOAM PRODUCTS",2020,0.0744,0.5273,0,0.0236,0.0236,0.0019,22.1914
DB2405D,RN100803410,LONGHORN IMPORTS INC,LONGHORN IMPORTS,DALLAS,4,2519,"HOUSEHOLD FURNITURE, NEC",2020,0,0,0,0,0,0,0.6162
DB2459D,RN100224757,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,DALLAS MEDICAL CENTER,DALLAS,4,8221,"COLLEGES AND UNIVERSITIES, NEC",2020,5.0333,12.5872,0,9.98,9.9625,0.3279,4.4194
DB2805G,RN100616804,MULTI PACKAGING SOLUTIONS,GREAT WESTERN PRESS,DALLAS,4,2759,"COMMERCIAL PRINTING, NEC",2020,0,0,0,0,0,0,18.0452
DB2861T,RN102989639,HOLLMAN COURT SYSTEMS INC,HOLLMAN COURT SYSTEMS,DALLAS,4,2541,WOOD PARTITIONS AND FIXTURES,2020,0,0,0,0.042,0,0,11.7486
DB3473C,RN102306115,SOUTHWEST AIRLINES CO,LOVE FIELD,DALLAS,4,4581,"AIRPORTS, FLYING FIELDS, SERVICE",2020,2.8611,6.8361,0,1.4125,1.4125,0.673,10.931
DB3613K,RN102302007,WESTERN CABINETS INC,CEDAR HILL PLANT,DALLAS,4,2434,WOOD KITCHEN CABINETS,2020,0.0824,0.098,0,0.0286,0.0286,0.0006,45.6512
DB4237J,RN102000924,CITY OF IRVING,HUNTER FERRELL LANDFILL,DALLAS,4,4953,REFUSE SYSTEMS,2020,0.7351,0.736,0,0.1202,0.078,0.0034,24.238
DB4394P,RN100221225,CITY OF GARLAND,CASTLE DRIVE LANDFILL,DALLAS,4,4953,REFUSE SYSTEMS,2020,18.4,3.38,0,0.83,0.83,0.76,0.588
DB4707Q,RN100218569,DALLAS CLEAN ENERGY MCCOMMAS BLUFF LLC,MCCOMMAS BLUFF LANDFILL GAS PROCESSING FACILITY,DALLAS,4,4925,GAS PRODUCTION AND DISTRIBUTION,2020,74.429,12.5,0,2.75,2.75,31.39,3.6026
DB4714T,RN102207073,RAYTHEON CORP ELCAN TEXAS OPTICAL TECHNOLOGIES,ELCAN OPTICAL TECHNOLOGIES,DALLAS,4,3827,OPTICAL INSTRUMENTS AND LENSES,2020,0,0,0,0,0,0,3.419
DB4751N,RN100224252,RAYTHEON COMPANY,RAYTHEON,DALLAS,4,3674,SEMICONDUCTORS AND RELATED DEVICES,2020,0,0,0,0,0,0,7.029
DB4814O,RN100542216,CITY OF GRAND PRAIRIE,CITY OF GRANDE PRAIRIE LANDFILL,DALLAS,4,4953,REFUSE SYSTEMS,2020,31.376,6.889,0,17.2406,10.3306,13.2205,3.196
DB4914J,RN100746007,TREND OFFSET PRINTING SERVICES INC,TREND OFFSET PRINTING SVC,DALLAS,4,2752,COMMERCIAL PRINTING LITHOGRAPH,2020,0.4856,1.2616,0,1.1527,1.1527,0.0084,15.3105
DB4999V,RN100857739,DRS NETWORK & IMAGING SYSTEMS LLC,DRS NIS INFRARED SENSORS & SYSTEMS,DALLAS,4,3674,SEMICONDUCTORS AND RELATED DEVICES,2020,0,0,0,0.0127,0.0055,0,13.96
DB5077A,RN100752146,CITY OF DALLAS,MCCOMMAS BLUFF LANDFILL,DALLAS,4,4953,REFUSE SYSTEMS,2020,1.956,8.939,0,73.674,45.531,0.592,47.303
DBA003C,RN104025556,WESTERN CABINETS INC,MORSE DRIVE FACILITY,DALLAS,4,2434,WOOD KITCHEN CABINETS,2020,0.7894,1.1475,0,0.1677,0.1566,0.0051,6.3468
DBA004D,RN103049490,CITY OF GARLAND,CHARLES M HINTON JR REGIONAL LANDFILL,DALLAS,4,4953,REFUSE SYSTEMS,2020,101.67,20.68,0,21.021,13.9804,36.44,3.572
DBA014N,RN105071427,OVERWRAPS PACKAGING INC,OVERWRAPS PACKAGING,DALLAS,4,2759,"COMMERCIAL PRINTING, NEC",2020,1.06,1.25,0,0.092,0.092,0.0066,32.293
DBA022V,RN105690853,AMERESCO DALLAS LLC,AMERESCO DALLAS,DALLAS,4,4931,ELECTRIC AND OTHER SERVICES COMBINED,2020,90.17,22.34,0,2.45,2.45,3.24,0.85
DBA023W,RN103007894,AER MANUFACTURING II INC,3325 B WILEY POST RD,DALLAS,4,3714,MOTOR VEHICLE PARTS & ACCESSORIES,2020,0.5509,0.6561,0,0.05,0.05,0.004,8.2062
DBA024X,RN100611987,FREEDOM GRAPHIC SYSTEMS,FREEDOM GRAPHIC SYSTEMS,DALLAS,4,2759,"COMMERCIAL PRINTING, NEC",2020,1.2645,1.5053,0,0.1144,0.1144,0.0091,10.5063
DBA025Y,RN104501002,MIDWAY PRESS LTD,MIDWAY PRESS,DALLAS,4,2759,"COMMERCIAL PRINTING, NEC",2020,2.6692,3.1795,0,0.2419,0.2419,0.0191,12.2836
DBA027A,RN102970951,RECYCLE TO CONSERVE TX INC,RECONSERVE OF TEXAS,DALLAS,4,2048,PREPARED FEEDS NEC,2020,4.79,1.17,0,0.81,0.75,0.02,7.091
DBA032F,RN100621242,ANDERSEN MENOMONIE INC,ANDERSEN REGIONAL MFG GARLAND ASSEMBLY,DALLAS,4,3089,"PLASTICS PRODUCTS, NEC",2020,0.086,0.103,0,0.1226,0.1226,0.0006,6.6216
DBA034H,RN106642382,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,COPPELL PRINTING FACILITY,DALLAS,4,3089,"PLASTICS PRODUCTS, NEC",2020,0.111,1.372,0,0.0082,0.0082,0.0009,14.6098
DBA035J,RN110276722,E R CARPENTER LP,EPS INSULATION FACILITY DESOTO,DALLAS,4,3086,"PLASTICS, FOAM PRODUCTS",2020,1.615,0.9613,0,0.1461,0.1461,0.0115,13.6196
DC0013E,RN101921989,UNITED GIN CORPORATION,UNITED GIN,DAWSON,7,724,COTTON GINNING,2020,0.17,0.21,0,2.99,0.21,0,0.01
DC0064K,RN100244813,ONEOK WESTEX TRANSMISSION LLC,RED RIVER NO 2 LAMESA,DAWSON,7,4922,NATURAL GAS TRANSMISSION,2020,138.7551,138.1372,0,1.8976,1.8976,0.9153,18.6917
DCA001A,RN102772571,KING-MESA INC,KING MESA,DAWSON,7,724,COTTON GINNING,2020,0.67,0.8,0,8.8,0.64,0,0.04
DD0045D,RN100223270,NATURAL GAS PIPELINE CO OF AMERICA LLC,COMPRESSOR STATION 169,DEAF SMITH,1,4922,NATURAL GAS TRANSMISSION,2020,0.182,0.163,0,0.008,0.008,0.0006,0.043
DD0067Q,RN102166758,AZTECA MILLING LP,DAWN CORN MILLING FACILITY,DEAF SMITH,1,2046,WET CORN MILLING,2020,6.7636,6.6645,0,81.9935,81.9838,0.0532,0.3756
DD0080B,RN102175866,TOP OF TEXAS GIN LTD,COTTON GIN,DEAF SMITH,1,724,COTTON GINNING,2020,0.89,1.06,0,12.65,0.84,0.01,0.06
DDA003C,RN105440804,WE HEREFORD LLC,WE HEREFORD,DEAF SMITH,1,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,7.54,13.75,0,35.92,34.65,0.55,51.571
DEA002B,RN110637626,PPF GIN & WAREHOUSE LLC,PPF GIN & WAREHOUSE COOPER GIN,DELTA,5,724,COTTON GINNING,2020,2.34,2.79,0,25.46,1.81,0.02,0.15
DF0001B,RN102097904,ACME BRICK COMPANY,DENTON PLANT,DENTON,4,3251,BRICK AND STRUCTURAL CLAY TILE,2020,114.3673,29.1092,0.0156,41.2302,0.0485,277.7533,6.8285
DF0012T,RN100214766,CITY OF GARLAND POWER & LIGHT,SPENCER GENERATING STATION,DENTON,4,4911,ELECTRIC SERVICES,2020,0.0262,1.171,0,10.846,0.2171,0.0156,0.1324
DF0051J,RN100211762,PACCAR INC,PETERBILT MOTORS DENTON FACILITY,DENTON,4,3711,MOTOR VEHICLES AND CAR BODIES,2020,9.8298,11.257,0,1.7317,0.3568,0.0785,49.4706
DF0089H,RN102615747,TETRA PAK MATERIALS LP,MATERIALS LIQUID FOOD CARTON MFG DENTON FACILITY,DENTON,4,2656,SANITARY FOOD CONTAINERS,2020,0.939,1.116,0,0.414,0.414,0.007,40.641
DF0223E,RN100542257,WASTE MANAGEMENT OF TEXAS  INC,DFW RECYCLING AND DISPOSAL FACILITY,DENTON,4,4953,REFUSE SYSTEMS,2020,286.26,98.94,0,82.68,55.33,46.43,36.38
DF0387T,RN102212685,CITY OF DENTON,CITY OF DENTON,DENTON,4,4953,REFUSE SYSTEMS,2020,41.12,7.64,0,19.3802,11.6002,14.52,1.772
DF0541K,RN101479038,CITY OF FARMERS BRANCH,CAMELOT LANDFILL,DENTON,4,4953,REFUSE SYSTEMS,2020,62.44,11.47,0,40.27,22.87,2.4,5.655
DF0545C,RN100683531,SOUTHWIRE COMPANY LLC,COPPER WIRE & CABLE DENTON PLANT,DENTON,4,3351,COPPER ROLLING AND DRAWING,2020,215.3942,9.6125,0.0349,12.2882,5.3793,0.1095,5.0106
DF0604L,RN101348571,ENLINK MIDSTREAM SERVICES LLC,GRAHAM RANCH COMPRESSOR STATION,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,29.6788,10.5106,0,2.8215,2.8215,0.1658,5.9992
DFA170N,RN102934692,SWG PIPELINE LLC,JUSTIN COMPRESSOR STATION,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,21.5243,20.8271,0,4.2489,4.2489,0.173,12.1734
DFA207Y,RN105890685,WM RENEWABLE ENERGY LLC,CAMELOT LANDFILL GAS TO ENERGY FACILITY,DENTON,4,4911,ELECTRIC SERVICES,2020,87.5,22.41,0,5.8,5.8,0.07,4.26
DFA233Y,RN106278385,WABTEC MANUFACTURING SOLUTIONS LLC,LOCOMOTIVE PLANT,DENTON,4,3743,RAILROAD EQUIPMENT,2020,3.4848,1.2434,0,0.0156,0.0156,0.0238,15.1931
DFA235A,RN106160260,SWG PIPELINE LLC,PONDER COMPRESSOR STATION,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,6.9786,19.6181,0,1.9101,1.9101,0.116,8.4744
DFA247M,RN106993041,TARGA MIDSTREAM SERVICES LLC,MUNSON COMPRESSOR STATION,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,26.94,19.156,0,4.11,4.11,0.163,24.9333
DFA248N,RN108365305,ENERVEST OPERATING LLC,COLE B 2H SITE,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,0.1653,0.0828,0,0,0,0,9.8004
DFA249O,RN107096505,ENERVEST OPERATING LLC,MT COLE 305H SITE,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,4.7512,2.4766,0,0.2169,0.2169,0.0066,18.4869
DFA250P,RN106487648,ENERVEST OPERATING LLC,MT COLE 401H SITE,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,1.3808,0.9133,0,0.1374,0.1374,0.0042,15.9675
DFA251Q,RN107853004,ENERVEST OPERATING LLC,MT COLE 501H,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,1.3998,0.0998,0,0.0977,0.0977,0.003,10.3336
DFA252R,RN107096547,ENERVEST OPERATING LLC,SYBIL TAYLOR 7H SITE,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,4.3661,1.422,0,0.2281,0.2281,0.007,8.6401
DFA254T,RN109678086,AMAZONCOMKYDC LLC,WOOT SERVICES CARROLLTON FACILITY,DENTON,4,2759,"COMMERCIAL PRINTING, NEC",2020,4.1142,4.898,0,0.3723,0.3723,0.0294,14.218
DFA255T,RN105892293,BLACKBEARD OPERATING LLC,ALLIANCE PAD B PRODUCTION FACILITY,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,17.169,3.231,0,0.046,0.046,0.013,14.045
DFA256U,RN106080914,CITY OF DENTON,225 MW DENTON ENERGY CENTER,DENTON,4,4931,ELECTRIC AND OTHER SERVICES COMBINED,2020,18.219,19.179,0,10.383,10.383,0.213,14.499
DFA257V,RN105892236,BLACKBEARD OPERATING LLC,ALLIANCE PAD D PRODUCTION FACILITY,DENTON,4,1311,CRUDE PETROLEUM & NATURAL GAS,2020,12.939,6.47,0,0.002,0.002,0.013,10.186
DG0009U,RN100220078,ENTERPRISE HYDROCARBONS LP,ARMSTRONG GAS PLANT,DE WITT,14,1321,NATURAL GAS LIQUIDS,2020,163.4793,208.8807,0,9.7856,9.7856,1.1345,34.9084
DG0032C,RN100212547,TEXAS EASTERN TRANSMISSION LP,THOMASTON COMPRESSOR STATION,DE WITT,14,4922,NATURAL GAS TRANSMISSION,2020,38.8705,78.128,0,1.949,1.949,0.1072,21.8568
DGA011K,RN106038946,ENTERPRISE PRODUCTS OPERATING LLC,AREA 72 CGP FACILITY,DE WITT,14,1311,CRUDE PETROLEUM & NATURAL GAS,2020,39.2284,25.254,0,2.4602,2.4602,35.1209,36.712
DGA079A,RN108569955,ENTERPRISE PRODUCTS OPERATING LLC,AREA 71B CGP FACILITY,DE WITT,14,1311,CRUDE PETROLEUM & NATURAL GAS,2020,24.078,43.3357,0,3.054,3.054,50.631,38.0255
DIA001A,RN106023153,MURPHY EXPLORATION & PRODUCTION COMPANY-USA,BRIGGS SOUTH CENTRAL FACILITY,DIMMIT,16,1311,CRUDE PETROLEUM & NATURAL GAS,2020,3.68,1.88,0,0.06,0.06,0.03,9.2118
DIA003C,RN106393630,SPRINGFIELD PIPELINE LLC,CAT RANCH MEGA,DIMMIT,16,1311,CRUDE PETROLEUM & NATURAL GAS,2020,20.576,52.9779,0,4.6723,4.6723,0.3846,15.1099
DIA006F,RN106391634,SPRINGFIELD PIPELINE LLC,STUMBERG MEGA,DIMMIT,16,1311,CRUDE PETROLEUM & NATURAL GAS,2020,22.1107,62.4472,0,4.8427,4.8427,0.4214,15.4555
DIA008H,RN106668700,MARKWEST ENERGY SOUTH TEXAS GAS COMPANY LLC,CMWW A COMPRESSOR STATION,DIMMIT,16,4922,NATURAL GAS TRANSMISSION,2020,1.4277,66.1816,0,2.1908,2.1908,0.1224,13.6788
DK0026E,RN100542554,ETC TEXAS PIPELINE LTD,HEBBRONVILLE STATION,DUVAL,16,4922,NATURAL GAS TRANSMISSION,2020,15.1737,122.1606,0,2.0188,2.0188,1.0398,3.6927
DK0035D,RN102888336,KINDER MORGAN TEXAS PIPELINE LLC,FREER COMPRESSOR STATION 551,DUVAL,16,4922,NATURAL GAS TRANSMISSION,2020,2.8514,10.1315,0,0.2464,0.2464,0.1083,4.2942
DK0064T,RN102591302,ENTERPRISE PRODUCTS OPERATING LLC,HAGIST COMPRESSOR STATION,DUVAL,16,4922,NATURAL GAS TRANSMISSION,2020,80.3464,47.6721,0,0.4157,0.4157,0.0141,7.593
DKA007G,RN106301880,EAGLE FORD GATHERING LLC,FREER LIQUIDS STATION,DUVAL,16,1321,NATURAL GAS LIQUIDS,2020,6.4395,9.0733,,0.3573,0.3573,0.0247,16.1435
DKA008H,RN110701224,GULF COAST EXPRESS PIPELINE LLC,FREER BOOSTER STATION,DUVAL,16,1311,CRUDE PETROLEUM & NATURAL GAS,2020,0.2328,0.0269,0,0.1709,0.1709,0.0052,0.29
EA0042C,RN100219534,RANGER GAS GATHERING LLC,RANGER PLANT,EASTLAND,3,1321,NATURAL GAS LIQUIDS,2020,19.6123,33.5832,0,1.0161,1.0161,0.0313,18.4269
EA0081P,RN101299220,ENTERPRISE  PRODUCTS  OPERATING  LLC,CISCO COMPRESSOR STATION,EASTLAND,3,4922,NATURAL GAS TRANSMISSION,2020,16.7906,88.4478,0,5.0933,5.0933,0.2944,15.262
EB0053J,RN100222330,DCP OPERATING COMPANY LP,GOLDSMITH GAS PLANT,ECTOR,7,1321,NATURAL GAS LIQUIDS,2020,267.8223,659.2741,0,20.152,15.3272,371.6947,121.4039
EB0103T,RN100213313,PHILLIPS 66 PIPELINE LLC,ODESSA PUMP STATION,ECTOR,7,4612,CRUDE PETROLEUM PIPE LINES,2020,0,0,0,0,0,0,49.7687
EB0115M,RN100244979,MAGELLAN PIPELINE TERMINALS LP,ODESSA TERMINAL,ECTOR,7,4613,REFINED PETROLEUM PIPELINES,2020,1.2877,0.7946,0,0.0758,0.0257,0.008,112.7262
EB0121R,RN100213305,GCC PERMIAN LLC,ODESSA CEMENT PLANT,ECTOR,7,3241,"CEMENT, HYDRAULIC",2020,107.8145,358.5452,0.0038,78.6809,23.8198,8.6741,29.8261
EB0197H,RN100209436,DCP OPERATING COMPANY  LP,ANDECTOR BOOSTER STATION,ECTOR,7,1311,CRUDE PETROLEUM & NATURAL GAS,2020,82.0604,416.2812,0,5.416,5.416,0.0663,43.158
EB0868C,RN100223882,LUMINANT GENERATION COMPANY LLC,ODESSA ECTOR POWER PARTNERS,ECTOR,7,4911,ELECTRIC SERVICES,2020,173.8348,659.2015,0,63.4307,63.428,14.1726,33.7748
EB0875F,RN100542737,REPUBLIC WASTE SERVICES OF TEXAS LTD,CHARTER WASTE LANDFILL,ECTOR,7,4953,REFUSE SYSTEMS,2020,0.0016,0,0,34.4502,20.0002,0.0031,5.918
EBA003C,RN102980398,PERMIAN TANK & MANUFACTURING INC,PERMIAN FIBERGLASS DIVISION,ECTOR,7,3089,"PLASTICS PRODUCTS, NEC",2020,0.1993,0.2791,0,0.0257,0.0257,0.0014,0.3461
EBA005E,RN104763099,QUAIL RUN ENERGY PARTNERS LP,QUAIL RUN ENERGY CENTER,ECTOR,7,4911,ELECTRIC SERVICES,2020,141.4474,125.21,0,47.384,47.3838,4.1496,6.8439
EBA012L,RN105624704,DCP OPERATING COMPANY LP,AVERITT BOOSTER STATION,ECTOR,7,1311,CRUDE PETROLEUM & NATURAL GAS,2020,50.7712,38.6631,0,3.096,3.096,0.0935,13.142
EBA014N,RN107088759,JAMES LAKE MIDSTREAM LLC,JAMES LAKE GAS PLANT,ECTOR,7,1321,NATURAL GAS LIQUIDS,2020,49.36,47.166,0,3.2599,3.2599,0.1831,15.405
EBA015O,RN106754989,ECTOR COUNTY ENERGY CENTER LLC,ECTOR COUNTY ENERGY CENTER,ECTOR,7,4911,ELECTRIC SERVICES,2020,53.6449,125.362,0,9.3566,9.3566,5.421,4.2827
ED0011D,RN100216472,CHAPARRAL STEEL MIDLOTHIAN LP,CHAPARRAL STEEL MIDLOTHIAN PLANT,ELLIS,4,3312,BLAST FURNACES AND STEEL MILLS,2020,1459.1954,385.291,0.3963,140.5184,121.9994,299.8091,315.8167
ED0013W,RN102539145,PRAXIS COMPANIES LLC,KORAL INDUSTRIES,ELLIS,4,3088,"PLASTICS, PLUMBING FIXTURES",2020,0.1784,0.2124,0,0.0763,0.031,0.0013,60.7317
ED0018M,RN100213479,ELK CORPORATION OF TEXAS,ELK CORP,ELLIS,4,2952,ASPHALT FELTS AND COATINGS,2020,30.3875,63.9557,0,11.6444,11.6444,0.1483,31.9301
ED0032S,RN100749035,GS II INC,GS ROOFING PRODUCTS,ELLIS,4,2952,ASPHALT FELTS AND COATINGS,2020,5.1855,2.4479,0,17.231,17.231,0.0147,33.2447
ED0034O,RN100225978,ASH GROVE CEMENT COMPANY,MIDLOTHIAN PLANT,ELLIS,4,3241,"CEMENT, HYDRAULIC",2020,260.2936,449.5621,0.0074,80.3196,71.1475,6.9252,18.2045
ED0051O,RN100223585,OWENS CORNING INSULATING SYSTEMS LLC,WAXAHACHIE PLANT,ELLIS,4,3296,MINERAL WOOL,2020,156.5833,64.8291,0.0001,258.2331,215.5244,13.6954,84.3971
ED0066B,RN100217199,TXI OPERATIONS LP,MIDLOTHIAN PLANT,ELLIS,4,3241,"CEMENT, HYDRAULIC",2020,417.63,1422.8199,0.0063,183.7638,90.7511,639.13,33.7692
ED0099J,RN100219286,HOLCIM US INC,MIDLOTHIAN PLANT,ELLIS,4,3241,"CEMENT, HYDRAULIC",2020,3566.1677,1442.5015,0.011,368.7727,258.6944,1910.3885,281.5918
ED0120U,RN100222686,ERGON ASPHALT & EMULSIONS INC,ENNIS PLANT,ELLIS,4,2952,ASPHALT FELTS AND COATINGS,2020,28.897,17.128,0,3.305,3.181,18.97,3.341
ED0131P,RN100242460,ELLIS COUNTY LANDFILL TX LP,ECD LANDFILL,ELLIS,4,4953,REFUSE SYSTEMS,2020,25.4747,5.5892,0,9.3441,4.8641,1.4523,3.8423
ED0141M,RN100212166,SHERWIN-WILLIAMS COMPANY,SHERWIN WILLIAMS ENNIS PLANT,ELLIS,4,2851,PAINTS AND ALLIED PRODUCTS,2020,0.795,0.9894,0,0.0901,0.0901,0.0006,24.097
ED0146C,RN100683440,LIFOAM INDUSTRIES LLC,LIFOAM INDUSTRIES SW DIVISION,ELLIS,4,3086,"PLASTICS, FOAM PRODUCTS",2020,0.086,0.561,0,0.911,0.911,0.001,8.526
ED0152H,RN101469146,MARTECH LLC,MARTECH,ELLIS,4,3299,NONMETALLIC MINERAL PRODUCTS,2020,0,0,0,0.64,0.64,0,15.284
ED0168P,RN100213537,DARTCO OF TEXAS LLC,DARTCO OF TEXAS WAXAHACHI,ELLIS,4,3089,"PLASTICS PRODUCTS, NEC",2020,25.5,11.09,0.0001,2.301,2.301,0.18,627.1031
ED0238T,RN100542588,ATMOS ENERGY CORP,HOWARD COMPRESSOR STATION,ELLIS,4,4922,NATURAL GAS TRANSMISSION,2020,10.0285,39.2607,0,4.1942,3.9092,0.4188,4.7309
ED0240J,RN100542232,WASTE MANAGEMENT OF TEXAS  INC,SKYLINE RECYCLING AND DISPOSAL FACILITY,ELLIS,4,4953,REFUSE SYSTEMS,2020,95.09,31.18,0,52.1,31.361,28.74,11.1926
